Persistence Class;Destination Class;Connectivity Strength
org.sigaept.edu.dao.TipoPessoaJuridicaDAO;org.sigaept.edu.negocio.ejb.ManterConvenioEstagioEJB;0.15
org.sigaept.edu.dao.AuditStatusTransacaoDAO;org.sigaept.edu.negocio.ejb.AuditStatusTransacaoEJB;0.0
org.sigaept.edu.dao.EstruturaEtapaAvaliacaoMatrizCurricularDAO;org.sigaept.edu.negocio.ejb.ManterEtapaAvaliacaoEJB;126.07584697529998
org.sigaept.edu.dao.TipoConvenioEstagioDAO;org.sigaept.edu.negocio.ejb.ManterConvenioEJB;0.15
org.sigaept.edu.dao.CalendarioAcademicoMatrizCurricularDAO;org.sigaept.edu.negocio.ejb.ManterMatrizCurricularEJB;25.570836336
org.sigaept.edu.dao.CalendarioAcademicoDAO;org.sigaept.edu.negocio.ejb.ManterCalendarioAcademicoEJB;426.31438656
org.sigaept.edu.dao.AvaliarProjetoExtensaoDAO;org.sigaept.edu.negocio.ejb.ManterPeriodoAcompanhamentoEJB;38.091665711999994
org.sigaept.edu.dao.ResultadoAvaliacaoDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;1249.5392807881726
org.sigaept.edu.dao.EstruturaEtapaAvaliacaoDAO;org.sigaept.edu.negocio.ejb.ManterEtapaAvaliacaoEJB;63.14538486299999
org.sigaept.edu.dao.MaterialApoioDAO;org.sigaept.edu.negocio.ejb.ManterMaterialApoioEJB;116.2529238112125
org.sigaept.edu.dao.PlanoEstagioDAO;org.sigaept.edu.negocio.ejb.ManterPlanoEstagioEJB;73.22686968955799
org.sigaept.edu.dao.RelatorioDAO;org.sigaept.edu.negocio.ejb.RelatorioEJB;46.42718967299999
org.sigaept.edu.dao.EtniaDAO;org.sigaept.edu.negocio.ejb.ManterPessoaFisicaEJB;2.721
org.sigaept.edu.dao.NecessidadeEspecialDAO;org.sigaept.edu.negocio.ejb.ManterPessoaFisicaEJB;1.3698
org.sigaept.edu.dao.GradeHorariaDAO;org.sigaept.edu.negocio.ejb.ManterGradeHorariaEJB;48.99722665409999
org.sigaept.edu.dao.SituacaoCalendarioAcademicoDAO;org.sigaept.edu.negocio.ejb.ManterCalendarioAcademicoEJB;1.2
org.sigaept.edu.dao.TipoUnidadeOrganizacionalDAO;org.sigaept.edu.negocio.ejb.ManterElementoOrganizacionalEJB;2.4297
org.sigaept.edu.dao.TipoPeriodoLetivoDAO;org.sigaept.edu.negocio.ejb.ManterPeriodoLetivoEJB;1.5296999999999998
org.sigaept.edu.dao.TipoCargaHorariaParticipanteDAO;org.sigaept.edu.negocio.ejb.ManterTipoCargaHorariaParticipanteEJB;0.0
org.sigaept.edu.dao.EtapaAvaliacaoDAO;org.sigaept.edu.negocio.ejb.ManterDataLimiteEtapaEJB;123.294324252
org.sigaept.edu.dao.CargoDAO;org.sigaept.edu.negocio.ejb.ManterServidorEJB;2.1296999999999997
org.sigaept.edu.dao.DataFixaDAO;org.sigaept.edu.negocio.ejb.ManterReservaEquipamentoEnsinoEJB;1.5318299999999998
org.sigaept.edu.dao.ParticipanteEnadeDAO;org.sigaept.edu.negocio.ejb.ManterEnadeEJB;446.12943680097294
org.sigaept.edu.dao.MatrizCurricularDAO;org.sigaept.edu.negocio.ejb.ManterMatrizCurricularEJB;114.42597624
org.sigaept.edu.dao.TipoAulaDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;105.39464255769118
org.sigaept.edu.dao.AreaTematicaDAO;org.sigaept.edu.negocio.ejb.ManterProjetoExtensaoEJB;0.75
org.sigaept.edu.dao.TipoRelatorioEstagioDAO;org.sigaept.edu.negocio.ejb.ManterRelatorioEstagioEJB;0.15
org.sigaept.edu.dao.DiaSemanaDAO;org.sigaept.edu.negocio.ejb.ManterGradeHorariaEJB;0.75
org.sigaept.edu.dao.PapelParticipanteDAO;org.sigaept.edu.negocio.ejb.ManterParticipacaoEJB;2.2698
org.sigaept.edu.dao.SituacaoFuncionamentoDAO;org.sigaept.edu.negocio.ejb.ManterSituacaoFuncionamentoEJB;0.0
org.sigaept.edu.dao.TipoRegimeMatriculaDAO;org.sigaept.edu.negocio.ejb.ManterRegimeMatriculaEJB;0.15
org.sigaept.edu.dao.TipoEscolaOrigemDAO;org.sigaept.edu.negocio.ejb.ManterAlunoEJB;0.44999999999999996
org.sigaept.edu.dao.TipoEstagioDAO;org.sigaept.edu.negocio.ejb.ManterEstagioMatriculaEJB;0.75
org.sigaept.edu.dao.HorarioAulaDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;67.17224036381697
org.sigaept.edu.dao.PaisDAO;org.sigaept.edu.negocio.ejb.ManterPessoaFisicaEJB;3.6296999999999993
org.sigaept.edu.dao.VinculoDAO;org.sigaept.edu.negocio.ejb.ManterEventoExternoEJB;24.354154505999997
org.sigaept.edu.dao.EixoTecnologicoCursoTecnicoDAO;org.sigaept.edu.negocio.ejb.ManterEixoTecnologicoCursoTecnicoEJB;0.0
org.sigaept.edu.dao.ElementoCurricularAproveitadoDAO;org.sigaept.edu.negocio.ejb.ManterPedidoRenovacaoMatriculaEJB;59.623945262138996
org.sigaept.edu.dao.TipoProcedimentoCurricularDao;org.sigaept.edu.negocio.ejb.ManterAproveitamentoAceleracaoeDispensaEJB;0.44999999999999996
org.sigaept.edu.dao.DataLimiteEtapaDAO;org.sigaept.edu.negocio.ejb.ManterDataLimiteEtapaEJB;89.800420338
org.sigaept.edu.dao.ItemDispendioDAO;org.sigaept.edu.negocio.ejb.ManterProjetoExtensaoEJB;0.15
org.sigaept.edu.dao.MediaGeralTurmaDAO;org.sigaept.edu.negocio.ejb.ManterSituacaoAlunoCursoEJB;623.4355353716139
org.sigaept.edu.dao.AproveitamentoAceleracaoeDispensaDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;170.019962533278
org.sigaept.edu.dao.AprovadoProcessoSeletivoDAO;org.sigaept.edu.negocio.ejb.ManterAprovadoProcessoSeletivoEJB;1.5
org.sigaept.edu.dao.ElementoCurricularAproveitadoElementoCurricularDAO;org.sigaept.edu.negocio.ejb.ManterAproveitamentoAceleracaoeDispensaEJB;376.952523637778
org.sigaept.edu.dao.AplicacaoPerguntasAssistenciaEstudantilDAO;org.sigaept.edu.negocio.ejb.ManterPerguntasProgramasAssistenciaEstudantilEJB;0.44999999999999996
org.sigaept.edu.dao.TipoAtoAutorizativoDAO;org.sigaept.edu.negocio.ejb.ManterCursoEJB;0.15
org.sigaept.edu.dao.FaltaDAO;org.sigaept.edu.negocio.ejb.ManterDiarioClasseEJB;3753.4781617926087
org.sigaept.edu.dao.DataAcademicaDAO;org.sigaept.edu.negocio.ejb.ManterCalendarioAcademicoEJB;25.870836336
org.sigaept.edu.dao.ConvenioEstagioDAO;org.sigaept.edu.negocio.ejb.ManterConvenioEstagioEJB;67.28345759999998
org.sigaept.edu.dao.ConjuntoRegrasAcademicasMatrizDAO;org.sigaept.edu.negocio.ejb.ManterConjuntoRegrasAcademicasEJB;188.33965834650002
org.sigaept.edu.dao.ElementoCurricularDAO;org.sigaept.edu.negocio.ejb.ManterAproveitamentoAceleracaoeDispensaEJB;30.693101372999998
org.sigaept.edu.dao.CategoriaProjetoExtensaoDAO;org.sigaept.edu.negocio.ejb.ManterProjetoExtensaoEJB;0.6099
org.sigaept.edu.dao.TipoEstagioRegularDAO;org.sigaept.edu.negocio.ejb.ManterSupervisaoEstagioEJB;0.15
org.sigaept.edu.dao.OrgaosExternosDAO;org.sigaept.edu.negocio.ejb.ManterOrgaosExternos;0.0
org.sigaept.edu.dao.TipoArquivoRelatorioFinalEstagioDAO;org.sigaept.edu.negocio.ejb.ManterRelatorioFinalEstagioEJB;0.4599
