Type;Class;Amount Business Dependencies; Amount Persistence Dependencies
persistence;org.sigaept.edu.dao.AprovadoProcessoSeletivoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterReservaEquipamentoEnsinoEJB;0;7
persistence;org.sigaept.edu.dao.ElementoCurricularAproveitadoElementoCurricularDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterInscricaoProgramasAssistenciaEstudantilEJB;0;1
persistence;org.sigaept.edu.dao.AplicacaoPerguntasAssistenciaEstudantilDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTCCMatriculaEJB;2;3
persistence;org.sigaept.edu.dao.TipoAtoAutorizativoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterSituacaoVinculoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterParentescoEJB;0;0
persistence;org.sigaept.edu.dao.FaltaDAO;0;0
persistence;org.sigaept.edu.dao.DataAcademicaDAO;0;0
persistence;org.sigaept.edu.dao.ConvenioEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.VincularAlunoAClasseEJB;0;25
persistence;org.sigaept.edu.dao.ConjuntoRegrasAcademicasMatrizDAO;0;0
persistence;org.sigaept.edu.dao.ElementoCurricularDAO;0;0
persistence;org.sigaept.edu.dao.CategoriaProjetoExtensaoDAO;0;0
persistence;org.sigaept.edu.dao.TipoEstagioRegularDAO;0;0
persistence;org.sigaept.edu.dao.OrgaosExternosDAO;0;0
persistence;org.sigaept.edu.dao.CertidaoNascimentoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterBancoPagamentoEJB;0;0
business;org.sigaept.edu.negocio.ejb.ManterReservaAmbienteDeAprendizagemEJB;0;9
persistence;org.sigaept.edu.dao.TipoArquivoRelatorioFinalEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterDiaSemanaEJB;0;1
persistence;org.sigaept.edu.dao.CancelamentoMatriculaClasseDAO;0;0
persistence;org.sigaept.edu.dao.CancelamentoMatriculaCursoDAO;0;0
persistence;org.sigaept.edu.dao.CicloMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.DocenciaDAO;0;0
persistence;org.sigaept.edu.dao.TipoSituacaoMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.VisitaTecnicaGerencialDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoAtividadeComplementarEJB;0;0
persistence;org.sigaept.edu.dao.EtapaEnsinoDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterAplicacaoPerguntasAssistenciaEstudantilEJB;0;0
persistence;org.sigaept.edu.dao.ConjuntoTemplateRelatorioEstagioDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCDUEJB;0;2
persistence;org.sigaept.edu.dao.ElementoMatrizDAO;0;0
persistence;org.sigaept.edu.dao.AmbienteAprendizagemDAO;0;0
persistence;org.sigaept.edu.dao.ConselhoClasseDAO;0;6
business;org.sigaept.edu.negocio.ejb.AuditTipoOperacaoEJB;0;0
persistence;org.sigaept.edu.dao.VersaoDAO;0;0
persistence;org.sigaept.edu.dao.SituacaoVisitaTecnicaGerencialDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterTipoRegistroLegalEJB;0;0
persistence;org.sigaept.edu.dao.AditivoEstagioDAO;0;0
persistence;org.sigaept.edu.dao.RespostaAvaliacaoDocenteDAO;0;0
persistence;org.sigaept.edu.dao.ServidorDAO;0;1
business;org.sigaept.edu.negocio.ejb.CopiarTurmaEJB;0;3
persistence;org.sigaept.edu.dao.TurmaDAO;0;3
business;org.sigaept.edu.negocio.ejb.ManterEditalProjetoPesquisaExtensaoEJB;0;2
persistence;org.sigaept.edu.dao.PeriodoAcompanhamentoDAO;0;0
persistence;org.sigaept.edu.dao.AtividadeComplementarMatriculaDAO;0;0
persistence;org.sigaept.edu.dao.TipoLogradouroDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterEstruturaOrganizacionalEJB;0;1
business;org.sigaept.edu.negocio.ejb.ManterEquipamentoEnsinoEJB;0;6
business;org.sigaept.edu.negocio.ejb.ManterPeriodoAcompanhamentoEJB;0;5
persistence;org.sigaept.edu.dao.ModalidadeCursoDAO;0;0
persistence;org.sigaept.edu.dao.UnidadeOrganizacionalDAO;0;0
persistence;org.sigaept.edu.dao.RegimeJuridicoDAO;0;0
persistence;org.sigaept.edu.dao.PessoaExternaDAO;0;0
persistence;org.sigaept.edu.dao.PerguntasProgramasAssistenciaEstudantilDAO;0;0
persistence;org.sigaept.edu.dao.EixoTecnologicoCursoSuperiorDAO;0;0
persistence;org.sigaept.edu.dao.OrgaoExpedidorDAO;0;0
business;org.sigaept.edu.negocio.ejb.ManterCriterioClassificacaoEJB;0;4
